Datum,Kategorie,Beschreibung,Betrag
2024-01-01,Miete,Miete für Januar,-950.00
2024-01-02,Lebensmittel,Wocheneinkauf bei Rewe,-85.50
2024-01-03,Transport,Monatsticket BVG,-69.00
2024-01-04,Haushalt,Waschmittel und Reinigungsmittel,-15.20
2024-01-05,Freizeit,Kinobesuch mit Freunden,-18.50
2024-01-06,Gesundheit,Medikamente aus der Apotheke,-12.80
2024-01-07,Kleidung,Neuer Pullover von H&M,-29.99
2024-01-08,Lebensmittel,Einkauf auf dem Wochenmarkt,-25.30
2024-01-09,Freizeit,Abendessen im Restaurant,-45.00
2024-01-10,Versicherung,Haftpflichtversicherung (vierteljährlich),-25.00
2024-01-11,Bildung,Online-Kurs für Fotografie,-49.00
2024-01-12,Haushalt,Glühbirnen und Batterien,-9.75
2024-01-13,Sonstiges,Spende an eine gemeinnützige Organisation,-20.00
2024-01-14,Lebensmittel,Großer Wocheneinkauf bei Lidl,-78.90
2024-01-15,Freizeit,Konzertkarten für nächste Woche,-65.00
2024-01-15,Abonnements,Netflix-Abonnement,-12.99
2024-01-16,Transport,Tanken des Autos,-55.40
2024-01-17,Gesundheit,Zahnreinigung,-80.00
2024-01-18,Kleidung,Neue Socken und Unterwäsche,-22.50
2024-01-19,Lebensmittel,Einkauf im Bio-Laden,-35.10
2024-01-20,Freizeit,Ausflug in den Spreewald,-50.00
2024-01-21,Haushalt,Neue Pfanne von WMF,-39.95
2024-01-22,Freizeit,Kaffee und Kuchen im Café,-8.50
2024-01-23,Bildung,Fachbuch für die Weiterbildung,-34.99
2024-01-24,Lebensmittel,Einkauf bei Edeka,-42.60
2024-01-25,Sonstiges,Geschenk für einen Freund,-30.00
2024-01-26,Freizeit,Bowlingabend,-25.00
2024-01-27,Transport,Fahrkarte für eine Zugfahrt,-29.00
2024-01-28,Lebensmittel,Pizza-Lieferung,-22.00
2024-01-29,Haushalt,Pflanzen für den Balkon,-18.00
2024-01-30,Gesundheit,Fitnessstudio-Mitgliedschaft,-25.00
2024-01-31,Nebenkosten,Strom- und Gasabschlag,-110.00
2024-02-01,Miete,Miete für Februar,-950.00
2024-02-02,Lebensmittel,Wocheneinkauf bei Aldi,-75.20
2024-02-03,Transport,Monatsticket BVG,-69.00
2024-02-04,Haushalt,Geschirrspültabs und Klarspüler,-12.99
2024-02-05,Freizeit,Theaterbesuch,-55.00
2024-02-06,Gesundheit,Vitaminpräparate,-19.95
2024-02-07,Kleidung,Neues Hemd für die Arbeit,-39.99
2024-02-08,Lebensmittel,Einkauf beim türkischen Supermarkt,-32.50
2024-02-09,Freizeit,Barbesuch mit Kollegen,-38.00
2024-02-10,Abonnements,Spotify Premium,-9.99
2024-02-11,Bildung,Teilnahme an einem Workshop,-75.00
2024-02-12,Haushalt,Neuer Wasserkocher,-25.99
2024-02-13,Sonstiges,Rundfunkbeitrag,-18.36
2024-02-14,Lebensmittel,Wocheneinkauf bei Rewe,-82.10
2024-02-15,Abonnements,Netflix-Abonnement,-12.99
2024-02-16,Transport,Tanken,-60.10
2024-02-17,Gesundheit,Besuch beim Physiotherapeuten,-30.00
2024-02-18,Kleidung,Neue Schuhe,-89.95
2024-02-19,Lebensmittel,Asiatischer Supermarkt,-28.70
2024-02-20,Freizeit,Besuch im Museum,-14.00
2024-02-21,Haushalt,Aufbewahrungsboxen von IKEA,-24.99
2024-02-22,Freizeit,Brunch am Wochenende,-28.50
2024-02-23,Bildung,Abonnement einer Fachzeitschrift,-60.00
2024-02-24,Lebensmittel,Einkauf bei Edeka,-55.40
2024-02-25,Sonstiges,Reparatur des Fahrrads,-45.00
2024-02-26,Freizeit,Schwimmbadbesuch,-7.50
2024-02-27,Transport,Taxi nach Hause,-15.80
2024-02-28,Lebensmittel,Bestellung bei Lieferando,-25.50
2024-02-29,Gesundheit,Fitnessstudio-Mitgliedschaft,-25.00
2024-02-29,Nebenkosten,Strom- und Gasabschlag,-110.00
2024-03-01,Miete,Miete für März,-950.00
2024-03-02,Lebensmittel,Wocheneinkauf bei Lidl,-79.80
2024-03-03,Transport,Monatsticket BVG,-69.00
2024-03-04,Haushalt,Kauf von Küchenutensilien,-19.90
2024-03-05,Freizeit,Kletterhalle,-22.00
2024-03-06,Gesundheit,Erkältungsmittel,-9.50
2024-03-07,Kleidung,Jacke im Sale,-70.00
2024-03-08,Lebensmittel,Wochenmarkt,-28.40
2024-03-09,Freizeit,Essen gehen mit der Familie,-85.00
2024-03-10,Abonnements,Amazon Prime,-8.99
2024-03-11,Bildung,Sprachkurs-Gebühr,-150.00
2024-03-12,Haushalt,Neuer Duschvorhang,-15.00
2024-03-13,Sonstiges,Friseurbesuch,-40.00
2024-03-14,Lebensmittel,Großeinkauf bei Kaufland,-95.30
2024-03-15,Abonnements,Netflix-Abonnement,-12.99
2024-03-16,Transport,Inspektion des Autos,-250.00
2024-03-17,Gesundheit,Neue Brille,-220.00
2024-03-18,Kleidung,Business-Hemden,-60.00
2024-03-19,Lebensmittel,Einkauf im Unverpackt-Laden,-42.00
2024-03-20,Freizeit,Besuch einer Kunstausstellung,-12.00
2024-03-21,Haushalt,Blumenerde und Samen,-14.50
2024-03-22,Freizeit,Cocktailbar,-33.00
2024-03-23,Bildung,Ticket für eine Fachkonferenz,-199.00
2024-03-24,Lebensmittel,Einkauf bei Edeka,-48.90
2024-03-25,Sonstiges,Reinigung (Textilreinigung),-25.50
2024-03-26,Freizeit,Saunabesuch,-19.50
2024-03-27,Transport,Fahrradschloss,-35.00
2024-03-28,Lebensmittel,Mittagessen in der Kantine,-7.80
2024-03-29,Haushalt,Dekorationsartikel,-29.99
2024-03-30,Gesundheit,Fitnessstudio-Mitgliedschaft,-25.00
2024-03-31,Nebenkosten,Strom- und Gasabschlag,-110.00
2024-04-01,Miete,Miete für April,-950.00
2024-04-01,Versicherung,Hausratversicherung (jährlich),-85.00
2024-04-02,Lebensmittel,Wocheneinkauf bei Aldi,-72.40
2024-04-03,Transport,Monatsticket BVG,-69.00
2024-04-04,Urlaub,Flugbuchung Sommerurlaub,-350.00
2024-04-05,Freizeit,Picknick im Park,-25.00
2024-04-06,Gesundheit,Zahnseide und Mundspülung,-8.50
2024-04-07,Kleidung,Neue Jeans,-79.99
2024-04-08,Lebensmittel,Einkauf auf dem Markt,-31.20
2024-04-09,Freizeit,Eintritt für den Zoo,-22.00
2024-04-10,Versicherung,Haftpflichtversicherung (vierteljährlich),-25.00
2024-04-11,Bildung,Online-Abo für Lernplattform,-15.00
2024-04-12,Haushalt,Ersatzteile für Staubsauger,-22.80
2024-04-13,Sonstiges,Geschenk zur Geburt,-50.00
2024-04-14,Lebensmittel,Wocheneinkauf bei Lidl,-88.10
2024-04-15,Abonnements,Netflix-Abonnement,-12.99
2024-04-16,Transport,Tanken,-58.90
2024-04-17,Gesundheit,Rezeptgebühr Apotheke,-5.00
2024-04-18,Kleidung,T-Shirts,-25.00
2024-04-19,Lebensmittel,Süßigkeiten und Snacks,-15.40
2024-04-20,Freizeit,Grillparty mit Freunden,-40.00
2024-04-21,Haushalt,Neue Bettwäsche,-49.95
2024-04-22,Freizeit,Bücherkauf,-28.90
2024-04-23,Bildung,Besuch eines Seminars,-99.00
2024-04-24,Lebensmittel,Einkauf bei Rewe,-63.70
2024-04-25,Sonstiges,Passfotos,-12.00
2024-04-26,Freizeit,Minigolf,-9.00
2024-04-27,Transport,Carsharing für Ausflug,-45.60
2024-04-28,Lebensmittel,Sonntagsbrötchen vom Bäcker,-4.80
2024-04-29,Haushalt,Werkzeug aus dem Baumarkt,-38.50
2024-04-30,Gesundheit,Fitnessstudio-Mitgliedschaft,-25.00
2024-04-30,Nebenkosten,Strom- und Gasabschlag,-110.00
2024-05-01,Miete,Miete für Mai,-950.00
2024-05-02,Lebensmittel,Wocheneinkauf bei Edeka,-81.50
2024-05-03,Transport,Monatsticket BVG,-69.00
2024-05-04,Haushalt,Putzservice (einmalig),-60.00
2024-05-05,Freizeit,Fahrradtour und Biergarten,-35.00
2024-05-06,Gesundheit,Sonnencreme,-14.99
2024-05-07,Kleidung,Sommerkleid,-45.00
2024-05-08,Lebensmittel,Eisdiele,-7.50
2024-05-09,Freizeit,Besuch eines Straßenfestes,-30.00
2024-05-10,Abonnements,Spotify Premium,-9.99
2024-05-11,Urlaub,Anzahlung für Hotel,-200.00
2024-05-12,Haushalt,Grillkohle und Anzünder,-12.30
2024-05-13,Sonstiges,Rundfunkbeitrag,-18.36
2024-05-14,Lebensmittel,Wocheneinkauf bei Lidl,-77.60
2024-05-15,Abonnements,Netflix-Abonnement,-12.99
2024-05-16,Transport,Tanken,-61.20
2024-05-17,Gesundheit,Heuschnupfen-Tabletten,-11.80
2024-05-18,Kleidung,Sandalen,-34.95
2024-05-19,Lebensmittel,Getränkemarkt,-24.50
2024-05-20,Freizeit,Open-Air-Kino,-15.00
2024-05-21,Haushalt,Insektenschutzgitter,-29.99
2024-05-22,Freizeit,Kaffee mit einem Freund,-9.20
2024-05-23,Bildung,E-Book gekauft,-14.99
2024-05-24,Lebensmittel,Einkauf bei Rewe,-59.80
2024-05-25,Sonstiges,Porto für Pakete,-15.99
2024-05-26,Freizeit,Tretboot fahren,-12.00
2024-05-27,Transport,Fahrrad-Reparaturset,-18.00
2024-05-28,Lebensmittel,Bestellung bei einem Lieferservice,-28.00
2024-05-29,Haushalt,Ventilator für den Sommer,-40.00
2024-05-30,Gesundheit,Fitnessstudio-Mitgliedschaft,-25.00
2024-05-31,Nebenkosten,Strom- und Gasabschlag,-110.00
2024-06-01,Miete,Miete für Juni,-950.00
2024-06-02,Lebensmittel,Wocheneinkauf bei Aldi,-83.20
2024-06-03,Transport,Monatsticket BVG,-69.00
2024-06-04,Haushalt,Balkonmöbel,-150.00
2024-06-05,Freizeit,Besuch im Freibad,-6.00
2024-06-06,Gesundheit,Professionelle Massage,-60.00
2024-06-07,Kleidung,Badehose,-25.00
2024-06-08,Lebensmittel,"Wochenmarkt, Obst und Gemüse",-22.50
2024-06-09,Freizeit,Grillen am See,-35.80
2024-06-10,Versicherung,Reiseversicherung,-45.00
2024-06-11,Bildung,Teilnahme an einem Webinar,-29.00
2024-06-12,Haushalt,Müllbeutel und Frischhaltefolie,-7.50
2024-06-13,Sonstiges,Geschenk für eine Hochzeit,-100.00
2024-06-14,Lebensmittel,Wocheneinkauf bei Edeka,-91.40
2024-06-15,Abonnements,Netflix-Abonnement,-12.99
2024-06-16,Transport,Tanken,-63.80
2024-06-17,Gesundheit,Sportverletzung Salbe,-14.20
2024-06-18,Kleidung,Sonnenhut und Sonnenbrille,-38.00
2024-06-19,Lebensmittel,Besuch einer Eisdiele,-8.90
2024-06-20,Freizeit,Konzertbesuch,-75.00
2024-06-21,Haushalt,Neue Handtücher,-30.00
2024-06-22,Freizeit,Ausflug nach Potsdam,-40.00
2024-06-23,Bildung,Museums-Jahreskarte,-50.00
2024-06-24,Lebensmittel,Einkauf bei Rewe,-68.70
2024-06-25,Sonstiges,Chemische Reinigung für Anzug,-35.00
2024-06-26,Freizeit,Stand-Up-Paddling,-20.00
2024-06-27,Transport,Bußgeld Falschparken,-25.00
2024-06-28,Lebensmittel,Abendessen im Biergarten,-42.50
2024-06-29,Urlaub,Reiseführer und Fremdwährung,-60.00
2024-06-30,Gesundheit,Fitnessstudio-Mitgliedschaft,-25.00
2024-06-30,Nebenkosten,Strom- und Gasabschlag,-110.00
2024-07-01,Miete,Miete für Juli,-950.00
2024-07-02,Lebensmittel,Einkauf bei Lidl,-76.90
2024-07-03,Transport,Monatsticket BVG,-69.00
2024-07-04,Haushalt,Kauf eines neuen Mixers,-55.00
2024-07-05,Freizeit,Weinprobe,-40.00
2024-07-06,Gesundheit,"Apotheke, diverse Artikel",-18.30
2024-07-07,Kleidung,Leichte Jacke,-59.99
2024-07-08,Lebensmittel,Einkauf auf dem Wochenmarkt,-26.80
2024-07-09,Freizeit,Abendessen mit Freunden,-52.00
2024-07-10,Versicherung,Haftpflichtversicherung (vierteljährlich),-25.00
2024-07-11,Bildung,Kauf von Notizbüchern und Stiften,-12.50
2024-07-12,Haushalt,Reinigungsmittel,-11.40
2024-07-13,Sonstiges,Spende,-25.00
2024-07-14,Lebensmittel,Großer Wocheneinkauf bei Rewe,-93.20
2024-07-15,Abonnements,Netflix-Abonnement,-12.99